function,name,optimum,min,max,mean,median,std
F1,Bent Cigar,0.0,1.123757e-25,1.426063e-06,4.756347e-08,1.794968e-19,2.559810e-07
F2,Rastrigin,0.0,0.000000e+00,2.785328e-12,1.117921e-13,0.000000e+00,5.022920e-13
F3,High Conditioned Elliptic,0.0,1.742025e-05,2.718594e+05,6.908517e+04,5.641589e+04,8.872436e+04
F4,HGBat,0.0,8.004415e-06,1.264273e+01,1.514235e+00,1.432484e-01,3.030733e+00
F5,Rosenbrock,0.0,1.137120e-05,3.289280e+00,3.580872e-01,6.683895e-02,8.066552e-01
F6,Griewank,0.0,1.365599e-01,1.022159e+00,6.285836e-01,6.551415e-01,2.571413e-01
F7,Ackley,0.0,8.472492e-02,2.807704e+00,1.173669e+00,1.231330e+00,7.643892e-01
