function,name,optimum,min,max,mean,median,std
F1,Bent Cigar,0.0,1.647761e-25,8.365960e+03,2.788653e+02,3.267349e-19,1.501736e+03
F2,Rastrigin,0.0,0.000000e+00,1.596447e-10,6.076088e-12,0.000000e+00,2.866318e-11
F3,High Conditioned Elliptic,0.0,1.298382e-03,2.718594e+05,7.793830e+04,5.641589e+04,9.237119e+04
F4,HGBat,0.0,1.481231e-09,1.086935e+02,7.739230e+00,1.252096e+00,2.199738e+01
F5,Rosenbrock,0.0,9.012163e-04,2.535741e+00,3.708715e-01,1.383209e-01,5.578615e-01
F6,Griewank,0.0,1.000354e-01,1.041533e+00,5.857833e-01,5.518805e-01,2.774704e-01
F7,Ackley,0.0,1.096165e-02,2.872809e+00,1.017004e+00,9.028258e-01,8.081733e-01
