function,name,optimum,min,max,mean,median,std
F1,Bent Cigar,0.0,3.679354e-30,9.783541e+03,3.261180e+02,7.596235e-19,1.756199e+03
F2,Rastrigin,0.0,0.000000e+00,8.063239e-11,3.016491e-12,0.000000e+00,1.444633e-11
F3,High Conditioned Elliptic,0.0,2.293795e-19,2.718594e+05,7.672097e+04,4.641589e+04,9.344686e+04
F4,HGBat,0.0,2.626486e-08,1.575608e+02,6.407407e+00,1.614001e-02,2.823822e+01
F5,Rosenbrock,0.0,1.787125e-03,1.952373e+00,3.251407e-01,1.518043e-01,4.846767e-01
F6,Griewank,0.0,1.000107e-01,1.029785e+00,6.005831e-01,6.094305e-01,2.968365e-01
F7,Ackley,0.0,4.047659e-02,2.934343e+00,1.061305e+00,9.818297e-01,7.839120e-01
